OBJECTID;PEID;PGID;Name;NmDisp;NmAlt;ISOalpha3;Ctry;Regn;RegnSub;ROG;AffCd;Aff;PeopleDesc;LocationDesc;Pop;PopCls;EvngLvl;CongExst;Plnting;EngStat;GSEC;GSECbrf;GSEClng;SPI;SPIdesc;LPI;LPIname;LPIdesc;ROL;Lang;LangFamily;LangClass;LangSpkrs;ROR;Rlgn;RlgnAdher;RORdesc;RlgnBs;ROR4;ROR3;RlgnDiv;ROP3;PplNm;ROP25;Ethne;ROP2;PplClstr;ROP1;Affbloc;Bible;Jesus;Radio;Gospel;Audio;Stories;ResTot;LvlBible;YrPub;PicCrdt;PicURL;Photo;Indigenous;Latitude;Longitude;PeopleSearch;UpdatedDate
8144;50306;PG050306;Croat;Croats;None;MNE;Montenegro;Europe;Southern Europe;MJ;AG100;European Peoples;a diaspora community of Croats in Montenegro;None;6900;less than 10,000;Less than 2%;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;1;Pioneer Unreached People Group;0.1% to 0.5% Evangelical;hrv;Croatian;;Indo-European, Balto-Slavic, Slavic, South, Western;100;CRC;Christianity - Roman Catholicism;91;Roman Catholicism, the largest branch of the Christian church and one of the oldest religious institutions in the world. Roman Catholicism teaches that it is the one true Church founded by Jesus Christ and that its bishops are the successors of Christ.;Christianity;CRC;C;Roman Catholicism;102315;Croat;301846;Croat;C0195;Slav, Southern;A003;Eurasian Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Lea Maric";https://joshuaproject.net/assets/media/profiles/photos/p11437.jpg;Y;Diaspora;42.4647;18.6435;Croats of Montenegro (PG050306);2025-05-19T03:04:53.433+00:00
8145;42503;PG042503;Zande;Azande;None;SSD;South Sudan;Africa;Northern Africa;OD;AG300;Sub-Saharan African Peoples;a diaspora community of Azande in South Sudan;None;800000;500,000 - 999,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;1;Pioneer Unreached People Group;0.1% to 0.5% Evangelical;zne;Zande;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, North, Adamawa-Ubangi, Ubangi, Zande, Zande-Nzakara;100;CNP;Christianity - Neo-Pentecostalism;0;Neo-Pentecostalism, a movement characterized by manifestations in non-Pentecostal churches of what have been traditionally categorized as Pentecostal experiences, frequently combined with prosperity gospel theology.;Christianity;CNP;C;Neo-Pentecostalism;100673;Azande;300624;Azande;C0203;Sudanic;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: John Gabriel";https://joshuaproject.net/assets/media/profiles/photos/p10526.jpg;Y;Diaspora;4.570347;28.394382;Azande of South Sudan (PG042503);2025-05-19T03:04:56.256+00:00
8146;19340;PG019340;Bothar;Bothar;None;PNG;Papua New Guinea;Oceania;Melanesia;PP;AG650;Asian Pacific Rim Peoples;a people of Papua New Guinea, Western province: Morehead District;None;250;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;bfh;Blafe;Yam;South-Central Papuan, Morehead-Upper Maro, Tonda;100;CPR;Christianity - Protestantism;33;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;101636;Bothar;301392;Bothar;C0152;New Guinea;A010;Pacific Islander Peoples;Not Available;Not Available;Not Available;Available;Not Available;Not Available;1;None;None;Photo by Google. (2025). Image generated by Gemini 2.5 Flash: Bothar;https://images.peoplegroups.org/imbpeople-featured-images/PG019340.jpg;Y;Indigenous;-8.41526;141.03371;Bothar of Papua New Guinea (PG019340);2025-12-11T19:55:55.965+00:00
8147;18261;PG018261;Sinhalese;Sinhalese;None;MYS;Malaysia;Asia;South-Eastern Asia;MY;AG500;South Asian Peoples;a culturally rich and historically significant ethnic group in Sri Lanka, known for their Sinhala language, Theravada Buddhist traditions, and influential role in shaping the island's cultural and political landscape;None;36000;25,000 - 49,999;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;sin;Sinhala;Indo-European;Indo-European, Indo-Iranian, Indo-Aryan, Outer Languages, Southern, Sinhalese-Maldivian;100;BTH;Buddhism - Theravada;95;Theravada Buddhism, the oldest surviving branch of Buddhism.;Buddhism;BTH;B;Theravada Buddhism;109305;Sinhalese;307552;Sinhalese;C0282;South Asian Buddhist;A012;South Asian Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"Photo by <div style=""font-size: 0.7em"">Photo courtesy of <a href=""http://bit.ly/1BbOpAo"">Joshua Project</a>.</div>By Anonymous";https://images.peoplegroups.org/imbpeople-featured-images/PG018261.jpg;Y;Diaspora;3.13205;101.670353;Sinhalese of Malaysia (PG018261);2025-12-06T07:04:47.608+00:00
8148;43391;PG043391;English Gypsy;Romani;None;CAN;Canada;Americas;Northern America;CA;AG100;European Peoples;an indigenous community of Canada;None;3900;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CPR;Christianity - Protestantism;0;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;102928;Romani, Romanichal;307029;Romani;C0279;Romani;A003;Eurasian Peoples;Available;Available;Not Available;Available;Available;Available;5;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Milei.vencel - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Gabor_ciganyok..jpg"">Milei.vencel - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/3.0/"">CC BY-SA 3.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p11141.jpg;Y;Indigenous;49.214868;-122.927887;Romani of Canada (PG043391);2025-05-19T03:04:43.04+00:00
8149;47246;PG047246;Congolese;Congolese;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a diaspora community of Lingala-speaking Congolese in the United States;None;37500;25,000 - 49,999;2% or Greater but Less than 5%;No;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;lin;Lingala;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Northwest, C, Bangi-Ntomba (C.30);100;CNP;Christianity - Neo-Pentecostalism;0;Neo-Pentecostalism, a movement characterized by manifestations in non-Pentecostal churches of what have been traditionally categorized as Pentecostal experiences, frequently combined with prosperity gospel theology.;Christianity;CNP;C;Neo-Pentecostalism;105785;Lingala;304733;Lingala;C0258;Bantu, Central-Congo;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p13068.jpg;Y;Diaspora;41.741;-87.605;Congolese of the United States (PG047246);2025-08-28T07:20:05.786+00:00
8150;47271;PG047271;Malagasy;Malagasy;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;an Austronesian-speaking ethnic group indigenous to the island country of Madagascar;None;300;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;plt;Malagasy, Merina;Austronesian;Austronesian, Malayo-Polynesian, Greater Barito, East, Malagasy;100;CPR;Christianity - Protestantism;0;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;106120;Malagasy;305010;Malagasy;C0122;Malagasy;A008;Malay Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Rod Waddington - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Malagasy_Girl,_Madagascar_%2822289539592%29.jpg"">Rod Waddington - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/2.0/"">CC BY-SA 2.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p13430.jpg;Y;Diaspora;40.709063;-73.958744;Malagasy of the United States (PG047271);2025-08-28T07:20:05.786+00:00
8151;47215;PG047215;Arab, Moroccan;Moroccan Arabs;None;USA;United States;Americas;Northern America;US;AG200;Northern African and Middle Eastern Peoples;a diaspora community of Moroccan Arabs in the United States;None;120000;100,000 - 249,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;0;Frontier Unreached People Group;< 0.1% Evangelical;ary;Arabic, Moroccan;Afro-Asiatic;Afro-Asiatic, Semitic, Central, South, Arabic;100;MSN;Islam - Sunni;99;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;106804;Arab, Moroccan;300412;Arab, Moroccan;C0017;Arab, Maghreb;A001;Arab Peoples;Available;Available;Not Available;Available;Available;Available;5;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/bread-marrakesh-food-morocco-1166272/"">Monica Volpin - Pixabay</a>";https://joshuaproject.net/assets/media/profiles/photos/p13819.jpg;Y;Diaspora;40.695832;-73.954567;Moroccan Arabs of the United States (PG047215);2025-08-28T07:20:05.786+00:00
8152;47307;PG047307;Surinamer;Surinamers;None;USA;United States;Americas;Northern America;US;AG100;European Peoples;an Afro-Caribbean ethnolinguistic group whose identity is linked to the culture of Suriname;None;22000;10,000 - 24,999;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;srn;Sranan Tongo;Indo-European;Creole, English based, Atlantic, Suriname;100;CPR;Christianity - Protestantism;0;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;109625;Surinamese Creole;307767;Surinamese;C0337;Afro-Caribbean;A007;Latin American and Caribbean Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p15133.jpg;Y;Diaspora;25.894002;-80.186802;Surinamers of the United States (PG047307);2025-08-28T07:20:05.786+00:00
8153;47195;PG047195;Efik;Efik;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;an efhnic group located primarily in southern Nigeria and western Cameroon;None;6100;less than 10,000;5% or Greater but Less than 10%;No;No Churches Planted;Engaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;efi;Efik;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Cross River, Delta Cross, Lower Cross, Obolo, Efik;100;CPR;Christianity - Protestantism;75;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;102874;Efik;302272;Efik;C0044;Benue;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p11717.jpg;Y;Diaspora;32.6093;-96.9535;Efik of the United States (PG047195);2025-08-28T07:20:05.786+00:00
8154;47260;PG047260;Krio;Krio;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a Eurafrican ethnic group descended from freed African-American, Afo-Carribbean, and liberated African slaves who settles in the Western Area (Freetown Peninsula) of Sierra Leone during the 19th century;None;7800;less than 10,000;10% or Greater but Less than 15%;No;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;kri;Krio;Indo-European;Creole, English based, Atlantic, Krio;100;E;Ethnoreligion;0;ethnoreligion, consisting of practices deeply rooted in this groups ethnic identity.;Ethnoreligion;;E;;105310;Krio;304287;Krio;C0173;Other Sub-Saharan African;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p11244.jpg;Y;Diaspora;40.822682;-73.907585;Krio of the United States (PG047260);2025-08-28T07:20:05.786+00:00
8155;47173;PG047173;Ugandan;Baganda;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a Bantu-speaking ethnolinguistic group indigenous to the Lake Victoria region of Uganda;None;8600;less than 10,000;Less than 2%;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;lug;Ganda;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, J, Nyoro-Ganda (E.15);100;CRC;Christianity - Roman Catholicism;46;Roman Catholicism, the largest branch of the Christian church and one of the oldest religious institutions in the world. Roman Catholicism teaches that it is the one true Church founded by Jesus Christ and that its bishops are the successors of Christ.;Christianity;CRC;C;Roman Catholicism;112045;Ganda, Luganda;302543;Baganda (Ganda);C0035;Bantu, Makua-Yao;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Masters View / Howard Erickson";https://joshuaproject.net/assets/media/profiles/photos/p16784.jpg;Y;Diaspora;34.013605;-118.189481;Baganda of the United States (PG047173);2025-08-28T07:20:05.786+00:00
8156;47206;PG047206;Lusatian;Lusatian;None;USA;United States;Americas;Northern America;US;AG100;European Peoples;a West Slavic ethnic group indigenous to the historical region of Lusatia in the German states of Saxony and Brandenburg;None;300;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;eng;English;;Indo-European, Germanic, West, English;100;CRC;Christianity - Roman Catholicism;26;Roman Catholicism, the largest branch of the Christian church and one of the oldest religious institutions in the world. Roman Catholicism teaches that it is the one true Church founded by Jesus Christ and that its bishops are the successors of Christ.;Christianity;CRC;C;Roman Catholicism;109422;Sorb, Lower Lusatian;307667;Sorb;C0196;Slav, Western;A003;Eurasian Peoples;Available;Available;Available;Available;Available;Available;6;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Dundak - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Sorbs_national-costume1.jpg"">Dundak - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/2.5/"">CC BY-SA 2.5</a>";https://joshuaproject.net/assets/media/profiles/photos/p15001.jpg;Y;Diaspora;41.760409;-87.661195;Lusatian of the United States (PG047206);2025-08-28T07:20:05.786+00:00
8157;47228;PG047228;Luba-Lulua;Luba-Lulua;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a Bantu ethnic group settled along the Lulua River valley in south central Kasai-Occidental province, Democratic Repuglic of the Congo and the adjacent border area of northern Angola;None;6000;less than 10,000;5% or Greater but Less than 10%;No;No Churches Planted;Unengaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;lua;Luba-Kasai;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, L, Luba (L.31);100;CPR;Christianity - Protestantism;0;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;105899;Luba-Lulua;304828;Luba;C0261;Bantu, Central-Luba;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Maarten Kerkhof - Flickr <a href=""https://www.flickr.com/photos/maarten-kerkhof/19489804772/"">Maarten Kerkhof - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p13134.jpg;Y;Diaspora;35.24602;-80.810971;Luba-Lulua of the United States (PG047228);2025-08-28T07:20:05.786+00:00
8158;47306;PG047306;Swahili;Swahili;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a diaspora community of Swahili (Waungwana) in the United States;None;81500;50,000 - 99,999;5% or Greater but Less than 10%;No;No Churches Planted;Unengaged;5;5% or Greater but Less than 10% Evangelical;this people group is greater than or equal to 5% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;swh;Swahili;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, G, Swahili (G.42);100;MSN;Islam - Sunni;75;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;109644;Swahili;307782;Swahili;C0275;Bantu, Swahili;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Luciano Rizzello - Flickr <a href=""https://flickr.com/photos/rosluc6460/3260871722"">Luciano Rizzello - Flickr</a> Licensed under <a href=""https://creativecommons.org/licenses/by-nc-sa/2.0/"">CC BY-NC-SA 2.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p15145.jpg;Y;Diaspora;33.996036;-118.256278;Swahili of the United States (PG047306);2025-08-28T07:20:05.786+00:00
8159;47272;PG047272;Afrikaner;Afrikaners;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a South African ethnic group primarily of Dutch, German, and French Huguenot descent;None;21500;10,000 - 24,999;2% or Greater but Less than 5%;No;No Churches Planted;Engaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;4;Marginally Reached People Group;3% to 6% Evangelical;afr;Afrikaans;Indo-European;Indo-European, Germanic, West, Low Saxon-Low Franconian, Low Franconian;100;CNP;Christianity - Neo-Pentecostalism;0;Neo-Pentecostalism, a movement characterized by manifestations in non-Pentecostal churches of what have been traditionally categorized as Pentecostal experiences, frequently combined with prosperity gospel theology.;Christianity;CNP;C;Neo-Pentecostalism;100093;Afrikaner;300070;Afrikaner;C0079;Germanic;A003;Eurasian Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Johann Tempelhoff";https://joshuaproject.net/assets/media/profiles/photos/p10168.jpg;Y;Diaspora;34.006062;-118.320837;Afrikaners of the United States (PG047272);2025-08-28T07:20:05.786+00:00
8160;47446;PG047446;Rundi;Rundi;None;CAN;Canada;Americas;Northern America;CA;AG300;Sub-Saharan African Peoples;a diaspora community of Rundi-speaking Hutus in Canada;None;3800;less than 10,000;10% or Greater but Less than 15%;No;No Churches Planted;Unengaged;6;10% or Greater Evangelical;this people group is greater than or equal to 10% evangelical;2;No Longer Unreached;5;Moderately Reached People Group;6% to 20% Evangelical;run;Rundi;Atlantic-Congo;Niger-Congo, Atlantic-Congo, Volta-Congo, Benue-Congo, Bantoid, Southern, Narrow Bantu, Central, J, Ruanda-Rundi (D.62);100;CPR;Christianity - Protestantism;0;Protestant Christianity, a tradition that emerged from the Protestant Reformation. Protestants reject the idea of papal supremacy, instead stressing the authority of scripture alone, justification by faith alone, and salvation through Christ alone.;Christianity;CPR;C;Protestantism;103926;Hutu;303120;Hutu (Rundi);C0260;Bantu, Central-Lakes;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: <a href=""https://pixabay.com/photos/kigali-rwanda-africa-to-travel-5256022/"">Andreas - Pixabay</a>";https://joshuaproject.net/assets/media/profiles/photos/p12161.jpg;Y;Diaspora;45.540605;-73.567816;Rundi of Canada (PG047446);2025-08-28T07:20:05.786+00:00
8161;46495;PG046495;Turk;Turks;None;USA;United States;Americas;Northern America;US;AG400;Central Asian Peoples;the main ethnic group of Türkiye (Turkey) and one of the largest Turkic-speaking populations in the world;None;146000;100,000 - 249,999;Less than 2%;No;No Churches Planted;Engaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;1;Engaged yet Unreached;1;Pioneer Unreached People Group;0.1% to 0.5% Evangelical;tur;Turkish;Turkic;Turkic, Southern, Turkish;100;MSN;Islam - Sunni;92;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;113818;Turk;308375;Turk;C0221;Turkic;A015;Turkic Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: Anonymous";https://joshuaproject.net/assets/media/profiles/photos/p18274.jpg;Y;Diaspora;40.654221;-73.956897;Turks of the United States (PG046495);2025-08-28T07:20:05.786+00:00
8162;46702;PG046702;Arab, Sudanese;Sudanese Arabs;None;USA;United States;Americas;Northern America;US;AG200;Northern African and Middle Eastern Peoples;a culturally rich group formed through centuries of admixture between indigenous Africans and Arab immigrants, characterized by their Sunni Muslim faith, Arabic language, and influential role in Sudan's socio-political landscape.;None;52000;50,000 - 99,999;Less than 2%;No;No Churches Planted;Unengaged;1;Less than 2% Evangelical, No Active CP Activity;this people group is less than 2% evangelical, some evangelical resources are available, but there has been no active church planting among them within the past two years;0;Unengaged and Unreached;2;Expanding Unreached People Group;0.5% to 2% Evangelical;apd;Arabic, Sudanese;Afro-Asiatic;Afro-Asiatic, Semitic, Central, South, Arabic;100;MSN;Islam - Sunni;97;Sunni Islam, the largest branch of Islam. Sunni Muslims follow the teachings of the Qur'an and consider the first four caliphs to be the rightful successors of Muhammad.;Islam;MSN;M;Sunni Islam;109571;Arab, Sudanese;300419;Arab, Sudanese;C0019;Arab, Sudan;A001;Arab Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: David Haberlah - Wikimedia <a href=""https://commons.wikimedia.org/wiki/File:Sudanese_arab_from_manasir_tribe.jpg"">David Haberlah - Wikimedia</a> Licensed under <a href=""https://creativecommons.org/licenses/by-sa/3.0/"">CC BY-SA 3.0</a>";https://joshuaproject.net/assets/media/profiles/photos/p15104.jpg;Y;Diaspora;40.771464;-73.819654;Sudanese Arabs of the United States (PG046702);2025-08-28T07:20:05.786+00:00
8163;46707;PG046707;Bari;Bari;None;USA;United States;Americas;Northern America;US;AG300;Sub-Saharan African Peoples;a Nilotic Karo tribe indigenous to South Sudan and Uganda;None;4000;less than 10,000;2% or Greater but Less than 5%;No;No Churches Planted;Unengaged;4;2% or Greater but Less than 5% Evangelical;this people group is greater than or equal to 2% evangelical;2;No Longer Unreached;3;Minimally Reached People Group;2% to 3% Evangelical;bfa;Bari;Nilotic;Nilo-Saharan, Satellite-Core, Core, Eastern Sudanic, Southern (n languages), Nilotic, Eastern, Bari;100;CNP;Christianity - Neo-Pentecostalism;0;Neo-Pentecostalism, a movement characterized by manifestations in non-Pentecostal churches of what have been traditionally categorized as Pentecostal experiences, frequently combined with prosperity gospel theology.;Christianity;CNP;C;Neo-Pentecostalism;101283;Bari;300896;Bari (Nilotic);C0153;Nilotic;A013;Sub-Saharan African Peoples;Available;Available;Not Available;Available;Available;Not Available;4;None;None;"<div style=""font-size: 0.8em"">Photo courtesy of <a href=""https://www.joshuaproject.net"">Joshua Project</a>.</div> Photo Source: RJ Tidwell";https://joshuaproject.net/assets/media/profiles/photos/p10808.jpg;Y;Diaspora;32.906195;-96.774752;Bari of the United States (PG046707);2025-08-28T07:20:05.786+00:00
