UPG;Country;CC;PopulationTotal;Latitude;Longitude;PrimaryLanguage;Religion;Continent;PChrn
Gulf Arabs;Bahrain;BA;137000;26.136371;50.60272;Arabic, Baharna;Islam;Asia;0
Jebala;France;FR;25000;48.87153;2.189643;Arabic, Moroccan;Islam;Europe;0
Najdi Arabs;United States;US;79000;34.092246;-118.287293;Arabic, Najdi;Islam;Americas;0
Levantine Arabs;Dominica;DO;50;15.307;-61.387;Arabic, Standard;Islam;Americas;0
Levantine Arabs;Curacao;UC;325;12.143255;-68.915309;Arabic, Standard;Islam;Americas;0
Middle Eastern Arabs;Germany;GM;103000;52.51761;13.408391;Arabic, Levantine;Islam;Europe;0
Libyans;Spain;SP;1100;41.354537;2.145709;Arabic, Libyan;Islam;Europe;0
Libyan Arabs;Italy;IT;41500;41.883986;12.51014;Arabic, Libyan;Islam;Europe;0
Levantine Arabs;Ecuador;EC;3200;-2.203411;-79.921002;Arabic, Standard;Islam;Americas;0
Levantine Arabs;British Virgin Islands;VI;60;18.429935;-64.619626;Arabic, Standard;Islam;Americas;0
Libyan Arabs;Tunisia;TS;314000;36.7526;10.224;Arabic, Libyan;Islam;Africa;0
Palestinian Arabs;Egypt;EG;145000;30.129;31.3999;Arabic, Levantine;Islam;Africa;0
Moors;Morocco;MO;3105000;29.6994;-9.7372;Hassaniyya;Islam;Africa;0
Mauritanians;United States;US;1300;42.337648;-71.072716;Hassaniyya;Islam;Americas;0
Libyans;United States;US;11000;40.83458;-73.868919;Arabic, Libyan;Islam;Americas;0
Arabized Africans;Qatar;QA;49000;25.303898;51.476344;Arabic, Gulf;Islam;Asia;0
Kurmanji Kurds;Uzbekistan;UZ;3400;42.353759;59.580848;Kurdish, Northern;Islam;Asia;0
Kurmanji Kurds;Kazakhstan;KZ;51000;42.324101;69.595207;Kurdish, Northern;Islam;Asia;0
Sorani Kurds;Jordan;JO;40000;31.967572;35.899595;Kurdish, Central;Islam;Asia;0
Kurmanji Kurds;Bahrain;BA;91000;26.212895;50.471966;Kurdish, Northern;Islam;Asia;0
Dar Fur Daju;Sudan;SU;127000;12.25982;25.31274;Daju, Dar Fur;Islam;Africa;0
Karko;Sudan;SU;30000;12.08;29.4006;Karko;Islam;Africa;0
Tagoy;Sudan;SU;26500;12.1133;30.848;Tagoi;Islam;Africa;0
Tumtum;Sudan;SU;21500;10.63777;30.4128;Tumtum;Islam;Africa;0
Kadaru;Sudan;SU;45500;12.15545;30.2709;Kadaru;Islam;Africa;0
Dungans;Uzbekistan;UZ;1900;41.353986;69.385483;Dungan;Islam;Asia;0
Gulfan;Sudan;SU;45500;11.64319;29.81219;Ghulfan;Islam;Africa;0
Lak;Uzbekistan;UZ;4100;42.416497;59.474104;Lak;Islam;Asia;0
Ingush;Kazakhstan;KZ;21000;43.3471;76.8612;Ingush;Islam;Asia;0
Tatars;Canada;CA;5200;43.5849872078;-79.6333293218;Tatar;Islam;Americas;0
Tajiks;United States;US;2400;40.662507;-73.931422;Tajik;Islam;Americas;0
Turks;Norway;NO;20500;59.9366;10.6724;Turkish;Islam;Europe;0
Chechens;Jordan;JO;8300;31.987;35.959;Chechen;Islam;Asia;0
Kazakh;Iran;IR;6000;37.23523;54.08519;Kazakh;Islam;Asia;0
Circassians;United States;US;6900;43.058449;-76.145707;Adyghe;Islam;Americas;0
Chechens;Austria;AU;30500;46.63333;14.308752;Chechen;Islam;Europe;0
Turks;Kosovo;KV;13000;42.296435;20.669903;Turkish;Islam;Europe;0
Somalis;Canada;CA;66500;43.7354;-79.5614;Somali;Islam;Americas;0
Somalis;Saudi Arabia;SA;77000;24.5874;46.622;Somali;Islam;Asia;0
Punjabis;Afghanistan;AF;8800;34.534;69.194;Punjabi, Eastern;Islam;Asia;0
Hausa;Algeria;AG;12000;36.7368;3.195;Hausa;Islam;Africa;0
Belarusians;Azerbaijan;AJ;6900;40.369164;49.84224;Belarusian;Christianity;Asia;0
Belarusians;Tajikistan;TI;4200;38.512322;68.74002;Belarusian;Christianity;Asia;0
Armenians;Tajikistan;TI;4800;38.571344;68.760995;Armenian;Christianity;Asia;0
Belarusians;Turkmenistan;TX;4500;37.934181;58.385168;Belarusian;Christianity;Asia;0
Chaldeans;Türkiye;TU;3000;37.177567;42.544317;Chaldean Neo-Aramaic;Christianity;Asia;0
Armenians;Italy;IT;1100;45.460472;9.198196;Armenian;Christianity;Europe;0
Armenians;Uzbekistan;UZ;36000;41.332229;69.246086;Armenian;Christianity;Asia;0
Armenians;Turkmenistan;TX;19500;37.939352;58.364739;Armenian;Christianity;Asia;0
Armenians;Kazakhstan;KZ;19500;42.320798;69.597847;Armenian;Christianity;Asia;0
Vietnamese;New Caledonia;NC;4200;-22.2723;166.4679;Vietnamese;Christianity;Oceania;0
Vietnamese;Vanuatu;NH;475;-17.721369;168.312874;Vietnamese;Christianity;Oceania;0
Basque;Venezuela;VE;5400;10.4761;-66.905;Basque;Christianity;Americas;0
Germans;Mexico;MX;13500;19.503372;-99.252537;German, Standard;Christianity;Americas;0
Laki;Iraq;IZ;128000;33.149251;45.967303;Luri, Northern;Islam;Asia;0
Myen;Laos;LA;800;21.189654;101.153589;Burmese;Ethnoreligion;Asia;0
Western Chams;United States;US;1200;33.79569;-118.189688;Cham, Western;Ethnoreligion;Americas;0
Rumai De`ang;China;CH;6200;24.14718;97.95457;Palaung, Rumai;Buddhism;Asia;0
Persians;Syria;SY;9700;33.522;36.279;Persian, Iranian;Islam;Asia;0
Persians;Uzbekistan;UZ;34500;41.29;69.2765;Persian, Iranian;Islam;Asia;0
Djiboutian Arabs;Djibouti;DJ;79000;11.564028;43.111031;Arabic, Ta’izzi-Adeni;Islam;Africa;0
Chamorros;Micronesia;FM;1200;6.945694;158.194738;Chamorro;Christianity;Oceania;0
Moor;Niger;NG;466000;15.9022;5.8029;Hassaniyya;Islam;Africa;0
Dalu;India;IN;16500;26.056375;91.757424;Bengali;Hinduism;Asia;0
Malakar;India;IN;67000;23.903784;91.56711;Bengali;Hinduism;Asia;0
Antiguans;Canada;CA;4800;43.8004;-79.2828;Leeward Caribbean English Creole;Christianity;Americas;0
Ashkenazi Jews;Kazakhstan;KZ;1400;43.270727;76.949962;Russian;Judaism;Asia;0
Kurmanji Kurds;Turkmenistan;TX;8100;37.931438;58.39751;Kurdish, Northern;Islam;Asia;0
Moroccan Jews;United States;US;25000;34.07175;-118.36445;Arabic, Judeo-Moroccan;Judaism;Americas;0
Kumzari;Oman;MU;5000;26.16023;56.42019;Kumzari;Islam;Asia;0
Pu Peo;Vietnam;VM;700;23.04628;104.879227;Qabiao;Ethnoreligion;Asia;0
Soi;Iran;IR;8000;31.8764;54.3889;Soi;Islam;Asia;0
Saudi Arabs;Syria;SY;1465000;34.53699;38.62842;Arabic, Najdi;Islam;Asia;0
Sudanese Arabs;Egypt;EG;4265000;30.0278;31.2379;Arabic, Sudanese;Islam;Africa;0
Rashaida;Sudan;SU;151000;18.430316;37.830504;Arabic, Gulf;Islam;Africa;0
Saudi Arabs;Iraq;IZ;1970000;31.7685;43.19846;Arabic, Najdi;Islam;Asia;0
Doms;Egypt;EG;457000;31.209933;29.962397;Domari;Islam;Africa;0
Kurmanji Kurds;Iran;IR;570000;37.4744;57.33;Kurdish, Northern;Islam;Asia;0
Deaf Congolese;Congo, Democratic Republic of the;CG;1490000;-4.405165;15.387264;Congolese Sign Language;Ethnoreligion;Africa;0
Hausa;Equatorial Guinea;EK;32000;1.8541;9.7694;Hausa;Islam;Africa;0
Hausa;Congo;CF;12500;1.654223;14.571613;Hausa;Islam;Africa;0
Hausa;Central African Republic;CT;41000;10.2901;22.7839;Hausa;Islam;Africa;0
Hausa;Gabon;GB;44500;0.4485;9.4296;Hausa;Islam;Africa;0
Hausa;Benin;BN;43000;9.3723;2.6182;Hausa;Islam;Africa;0
Hausa;Togo;TO;25500;6.1792;1.3434;Hausa;Islam;Africa;0
Manx;Canada;CA;6500;43.6559;-79.3819;English;Christianity;Americas;0
Gorani;Kosovo;KV;26500;42.045;20.629;Serbian;Islam;Europe;0
Cubeo;Brazil;BR;550;0.084;-67.3343;Cubeo;Ethnoreligion;Americas;0
Béké White Creole;Martinique;MB;3500;14.6316;-61.024;French;Christianity;Americas;0
Turks;Pakistan;PK;2500;35.25542;73.211292;Turkish;Islam;Asia;0
Ashkenazi Jews;Germany;GM;8600;52.454541;13.379535;Yiddish, Eastern;Judaism;Europe;0
Hausa;United States;US;5300;40.8466;-73.9119;Hausa;Islam;Americas;0
Thai;France;FR;10500;48.86607;2.346611;Thai;Buddhism;Europe;0
Basque;Chile;CI;8000;-33.5202;-70.6506;Basque;Christianity;Americas;0
Persians;Pakistan;PK;13000;34.015379;71.568343;Persian, Iranian;Islam;Asia;0
Burmese;Cambodia;CB;5000;11.5564;104.8891;Burmese;Buddhism;Asia;0
Thai;Malaysia;MY;34000;3.0805;101.6527;Thai;Buddhism;Asia;0
Albanians;Austria;AU;24000;48.183284;16.371204;Albanian, Tosk;Islam;Europe;0
Albanians;Montenegro;MJ;49500;42.440512;19.261996;Albanian, Gheg;Islam;Europe;0
Cocos Malays;Cocos (Keeling) Islands;CK;550;-12.185468;96.831418;Malay, Cocos Islands;Islam;Oceania;0
Deaf Ivoirians;Cote d’Ivoire;IV;105000;5.501574;-4.046213;Francophone African Sign Language;Ethnoreligion;Africa;0
Deaf Portuguese;Portugal;PO;103000;38.766824;-9.176629;Portuguese Sign Language;Christianity;Europe;0
Sicilians;Canada;CA;7800;43.6615703638;-79.5043915111;Sicilian;Christianity;Americas;0
Luxembourgers;Canada;CA;4400;43.653226;-79.383184;Luxembourgish;Christianity;Americas;0
Bosniaks;Austria;AU;223000;47.0345;15.417;Bosnian;Islam;Europe;0
Georgians;Russian Federation;RS;113000;55.75;37.616667;Georgian;Christianity;Europe;0
Southern Saami;Sweden;SW;600;63.8522;15.5559;Saami, South;Christianity;Europe;0
Austrians;Canada;CA;22500;43.811141044;-79.4037852038;Bavarian;Christianity;Americas;0
Dheevara;India;IN;473000;8.96116;76.53323;Malayalam;Hinduism;Asia;0
Serbs;Austria;AU;154000;48.216307;16.318657;Serbian;Christianity;Europe;0
Pomo;United States;US;11500;38.971704;-123.120212;English;Christianity;Americas;0
Muchi Chamar;India;IN;24000;17.424289;78.470015;Telugu;Hinduism;Asia;0
Saradagallu;India;IN;21000;17.079082;78.200103;Telugu;Hinduism;Asia;0
Dhekaro;India;IN;1200;24.034569;87.416786;Bengali;Hinduism;Asia;0
Dahalo;Kenya;KE;650;-2.1843;40.36999;Swahili;Ethnoreligion;Africa;0
Songhai;Burkina Faso;UV;256000;14.34761;0.22932;Songhay, Humburi Senni;Islam;Africa;0
Kotokoli;Togo;TO;526000;8.5633;0.9825;Tem;Islam;Africa;0
Binga;Sudan;SU;1000;10.4335;23.375;Yulu;Ethnoreligion;Africa;0
Subei;Sudan;SU;8400;11.751528;29.357972;Arabic, Sudanese;Islam;Africa;0
Borogo;Sudan;SU;5000;11.980667;29.098722;Arabic, Sudanese;Islam;Africa;0
Kurundi;Sudan;SU;21000;10.979;31.022528;Arabic, Sudanese;Islam;Africa;0
Shawafna;Sudan;SU;4500;10.94162;30.56298;Arabic, Sudanese;Islam;Africa;0
Kasha;Sudan;SU;14000;12.000806;29.152528;Arabic, Sudanese;Islam;Africa;0
Kudur;Sudan;SU;10000;12.099833;29.71075;Arabic, Sudanese;Islam;Africa;0
Antiti;Sudan;SU;16500;11.772528;29.320639;Arabic, Sudanese;Islam;Africa;0
Mirisia Zuruk;Sudan;SU;23000;10.865417;30.746472;Arabic, Sudanese;Islam;Africa;0
Abu-Junuk;Sudan;SU;9800;11.982667;28.961389;Arabic, Sudanese;Islam;Africa;0
Kujriya;Sudan;SU;15000;12.029917;29.321694;Arabic, Sudanese;Islam;Africa;0
Kuwala;Sudan;SU;21000;11.070333;31.003278;Arabic, Sudanese;Islam;Africa;0
Bindili;Sudan;SU;7100;10.845111;30.05;Arabic, Sudanese;Islam;Africa;0
Tasoomi;Sudan;SU;27000;10.638844;30.38402;Arabic, Sudanese;Islam;Africa;0
Tabak;Sudan;SU;21000;11.226639;29.112139;Arabic, Sudanese;Islam;Africa;0
Hawazama;Sudan;SU;7500;11.003848;30.190293;Arabic, Sudanese;Islam;Africa;0
Lamira;Sudan;SU;24000;10.176694;30.739306;Arabic, Sudanese;Islam;Africa;0
Kaijen;Sudan;SU;15000;11.088306;30.984639;Arabic, Sudanese;Islam;Africa;0
Tata;Sudan;SU;18000;10.643061;30.388741;Arabic, Sudanese;Islam;Africa;0
Kauyaru;Sudan;SU;6300;11.003848;30.190293;Arabic, Sudanese;Islam;Africa;0
Kalik;Sudan;SU;31000;12.034583;29.59875;Arabic, Sudanese;Islam;Africa;0
Wadalka;Sudan;SU;37000;12.408861;31.319444;Arabic, Sudanese;Islam;Africa;0
Hijeraat;Sudan;SU;24500;11.876583;31.138389;Arabic, Sudanese;Islam;Africa;0
Turuj;Sudan;SU;26500;12.37475;30.945167;Arabic, Sudanese;Islam;Africa;0
Kamda;Sudan;SU;30000;11.471056;29.203194;Arabic, Sudanese;Islam;Africa;0
Rashad;Sudan;SU;77000;11.87575;31.111222;Arabic, Sudanese;Islam;Africa;0
Farla;Sudan;SU;26500;11.894111;31.011;Arabic, Sudanese;Islam;Africa;0
Sagolle;Sudan;SU;26000;11.01779;29.588459;Arabic, Sudanese;Islam;Africa;0
Trawing;Sudan;SU;2200;10.893778;29.752417;Arabic, Sudanese;Islam;Africa;0
Kega-Alkheel;Sudan;SU;21000;11.37075;29.751528;Arabic, Sudanese;Islam;Africa;0
Kenana;Sudan;SU;35000;11.087306;30.984639;Arabic, Sudanese;Islam;Africa;0
Iraqi Jews;Iraq;IZ;4;33.31648;44.395542;Arabic, Judeo-Iraqi;Judaism;Asia;0
Arabized Blacks;Libya;LY;131000;32.8597;13.241;Arabic, Libyan;Islam;Africa;0
Cuban Jews;Cuba;CU;500;23.136276;-82.396751;Spanish;Judaism;Americas;0
Tukum;Sudan;SU;22000;12.083556;30.882806;Tagoi;Islam;Africa;0
Borono;Sudan;SU;24000;10.94162;30.56298;Kanuri, Yerwa;Islam;Africa;0
Surinamese Jews;Suriname;NS;225;5.811666;-55.173398;Portuguese;Judaism;Americas;0
Talasa;Sudan;SU;24500;10.194944;31.131556;Tumtum;Islam;Africa;0
Kajakaja;Sudan;SU;37000;11.470444;31.240694;Tegali;Islam;Africa;0
Dajo;Sudan;SU;35000;11.391944;29.014444;Daju, Dar Fur;Islam;Africa;0
Spanish Jews;United States;US;325;40.79056;-73.965287;English;Judaism;Americas;0
Dalang;Sudan;SU;1000;11.645111;29.7945;Dilling;Islam;Africa;0
Belbali;Algeria;AG;3800;29.405463;-3.255986;Korandje;Islam;Africa;0
Arra;Sudan;SU;2400;10.641124;30.00524;Ngile;Islam;Africa;0
Doloka;Sudan;SU;14500;10.862278;29.748111;Ngile;Islam;Africa;0
Circassians;Israel;IS;3500;32.721;35.441;Adyghe;Islam;Asia;0
Ale;Ethiopia;ET;74500;5.4341;37.2327;Ale;Ethnoreligion;Africa;0
Bilen;Eritrea;ER;77500;15.709;38.268;Bilen;Islam;Africa;0
Kalanadies;India;IN;1500;11.685917;76.131236;Malayalam;Hinduism;Asia;0
Kummara, Kusuvan;India;IN;7000;11.29183;75.950993;Malayalam;Hinduism;Asia;0
Western Chams;Laos;LA;250;17.972941;102.618209;Cham, Western;Islam;Asia;0
Western Pashtun;Iran;IR;2445000;33.637;60.274;Pashto, Southern;Islam;Asia;0
Samaritans;Palestine;XP;425;32.21272;35.287431;Arabic, Levantine;Ethnoreligion;Asia;0
Deaf Maltese;Malta;MT;2800;35.920561;14.477307;Maltese Sign Language;Ethnoreligion;Europe;0
Deaf Armenians;Armenia;AM;27500;40.144984;44.523109;Armenian Sign Language;Ethnoreligion;Asia;0
Kate;Laos;LA;950;15.0795;105.8998;Lao;Ethnoreligion;Asia;0
Sivandi;Iran;IR;8000;30.1141;52.087;Sivandi;Islam;Asia;0
Gazi;Iran;IR;6000;33.928753;51.604348;Persian, Iranian;Islam;Asia;0
Khunsari;Iran;IR;23500;34.0063;51.3942;Khunsari;Islam;Asia;0
Deaf Saudi Arabians;Saudi Arabia;SA;348000;24.686882;46.72901;Saudi Arabian Sign Language;Islam;Asia;0
Deaf Laotians;Laos;LA;68000;17.974777;102.626223;Laos Sign Language;Ethnoreligion;Asia;0
Deaf Jamaicans;Jamaica;JM;27500;17.976886;-76.792403;Jamaican Sign Language;Ethnoreligion;Americas;0
Deaf Italians;Italy;IT;600000;41.940449;12.531651;Italian Sign Language;Christianity;Europe;0
Deaf Pakistanis;Pakistan;PK;10160000;31.713581;73.978827;Pakistan Sign Language;Islam;Asia;0
Deaf Greeks;Greece;GR;55500;37.953754;23.691784;Greek Sign Language;Ethnoreligion;Europe;0
Deaf Libyans;Libya;LY;70500;32.884578;13.258611;Libyan Sign Language;Islam;Africa;0
Sarikoli Tajiks;China;CH;20500;37.90501;75.14486;Sarikoli;Islam;Asia;0
Avar;Azerbaijan;AJ;45000;41.70474;46.55802;Avar;Islam;Asia;0
Northern Tati;Iran;IR;45500;38.845751;45.66249;Karingani;Islam;Asia;0
Turkmen;Uzbekistan;UZ;223000;42.461575;59.602795;Turkmen;Islam;Asia;0
Central Tati;Iran;IR;41500;37.368816;48.31128;Shahrudi;Islam;Asia;0
Semnani;Iran;IR;22000;35.5295;53.2868;Semnani;Islam;Asia;0
Kongsat;Laos;LA;850;21.190378;102.154695;Akha;Ethnoreligion;Asia;0
Murego-Gubden;Russian Federation;RS;39000;42.51275;47.63657;Dargwa;Islam;Europe;0
Arem;Laos;LA;900;18.1691;105.47;Lao;Ethnoreligion;Asia;0
Deaf Cubans;Cuba;CU;109000;23.103219;-82.417973;Cuban Sign Language;Ethnoreligion;Americas;0
Zartoshi Zoroastrians;Iran;IR;8000;31.8161;54.44689;Persian, Iranian;Other;Asia;0
Deaf Mozambicans;Mozambique;MZ;147000;-25.948215;32.592241;Mozambican Sign Language;Ethnoreligion;Africa;0
Idaksahak;Mali;ML;160000;15.915101;2.398555;Tadaksahak;Islam;Africa;0
Libyan Arabs;Libya;LY;2785000;32.867838;13.192789;Arabic, Libyan;Islam;Africa;0
Deaf Poles;Poland;PL;384000;52.265553;20.988732;Polish Sign Language;Christianity;Europe;0
Deaf Iranians;Iran;IR;885000;35.69219;51.09964;Iranian Sign Language;Islam;Asia;0
Aiyarakulu;India;IN;688000;18.435128;84.019536;Telugu;Hinduism;Asia;0
Reddi;India;IN;3300;9.0207;76.9291;Telugu;Hinduism;Asia;0
Andamanese;India;IN;11500;11.623377;92.726483;Andaman Hindi Creole;Hinduism;Asia;0
Memba;India;IN;5700;28.605;94.128056;Hindi;Buddhism;Asia;0
Batswana;United States;US;1700;40.84775;-73.879514;Setswana;Christianity;Americas;0
Reddi Dora;India;IN;2500;17.686816;83.218482;Telugu;Hinduism;Asia;0
Mandaeans;Iran;IR;11500;31.3081;48.7258;Persian, Iranian;Other;Asia;0
Atoni;Timor-Leste;TT;94000;-9.32991;124.25622;Baikeno;Christianity;Asia;0
Kurmanji Kurds;Azerbaijan;AJ;6400;39.82338;46.20434;Kurdish, Northern;Islam;Asia;0
Kyrgyz;United States;US;30000;41.8623437695;-87.7263075114;Kyrgyz;Islam;Americas;0
Bretons;United States;US;400;40.794724;-73.943277;French;Christianity;Americas;0
Saek;Thailand;TH;3600;17.4293;104.7458;Thai, Northeastern;Ethnoreligion;Asia;0
Afitti;Sudan;SU;5600;12.44598;30.76112;Afitti;Islam;Africa;0
Arapaso;Brazil;BR;475;0.144932;-67.743496;Tucano;Ethnoreligion;Americas;0
Korubo;Brazil;BR;500;-5.333333;-70.5;Korubo;Ethnoreligion;Americas;0
Txikao;Brazil;BR;450;-11.416667;-53.500001;Ikpeng;Ethnoreligion;Americas;0
Tariano;Brazil;BR;2800;0.210069;-68.564255;Portuguese;Ethnoreligion;Americas;0
Nahukwa;Brazil;BR;175;-11.96138;-53.47451;Kuikúro-Kalapálo;Ethnoreligion;Americas;0
Yawanawa;Brazil;BR;850;-8.174;-71.647;Yawanawa;Ethnoreligion;Americas;0
Matipu;Brazil;BR;200;-12.059655;-53.346075;Kuikúro-Kalapálo;Ethnoreligion;Americas;0
Irantxe;Brazil;BR;475;-12.8052;-57.9879;Portuguese;Ethnoreligion;Americas;0
Yawalapiti;Brazil;BR;325;-12.543501;-53.383344;Kamayurá;Ethnoreligion;Americas;0
Sabanes;Brazil;BR;150;-12.349;-58.9285;Portuguese;Ethnoreligion;Americas;0
Asurini of the Xingu;Brazil;BR;200;-4.166667;-52.416667;Asurini of Xingú;Ethnoreligion;Americas;0
Tuyuka;Brazil;BR;1100;0.31859;-69.983278;Tuyuca;Christianity;Americas;0
Amundava;Brazil;BR;125;-8.5902;-61.1613;Amundava;Ethnoreligion;Americas;0
Piratapuyo;Brazil;BR;1400;-0.262;-67.1;Piratapuyo;Ethnoreligion;Americas;0
Bororo;Brazil;BR;2400;-16.833333;-56.133333;Borôro;Ethnoreligion;Americas;0
Kamba;Brazil;BR;2100;-18.8124;-57.5966;Spanish;Ethnoreligion;Americas;0
Chachi;Ecuador;EC;9400;0.9497;-79.0253;Chachi;Ethnoreligion;Americas;0
Nyahkur;Thailand;TH;1500;15.89091;101.51465;Nyahkur;Buddhism;Asia;0
Kui;Thailand;TH;377000;14.70164;103.77955;Kuay;Buddhism;Asia;0
Sanda;China;CH;1700;22.2199;100.1624;Undetermined;Ethnoreligion;Asia;0
Sichuan Mongols;China;CH;29500;27.680674;100.846141;Mongolian, Peripheral;Buddhism;Asia;0
Pitcairn Islanders;Pitcairn Islands;PC;45;-25.0659;-130.101;Pitcairn-Norfolk;Christianity;Oceania;0
Sape;Venezuela;VE;15;4.9447;-63.23631;Pemon;Ethnoreligion;Americas;0
Nawa;Brazil;BR;425;-7.45552361364;-73.379853513;Portuguese;Ethnoreligion;Americas;0
Naruvotu;Brazil;BR;90;-12.92478;-52.80579;Kuikúro-Kalapálo;Ethnoreligion;Americas;0
Qinghai Mongols;China;CH;43000;34.7323;101.6086;Tibetan, Amdo;Buddhism;Asia;0
Mairiri;Indonesia;ID;550;-6.15619;134.87268;Mariri;Islam;Asia;0
Ghorbati;Iraq;IZ;45000;31.9806404754;44.9196313447;Domari;Islam;Asia;0
Jogies;Afghanistan;AF;22000;34.4335;70.4371;Dari;Islam;Asia;0
Jofra Imazighen;Libya;LY;30000;27.8118;16.3859;Arabic, Libyan;Islam;Africa;0
Afrikaners;Zambia;ZA;85000;-15.3652;28.3146;Afrikaans;Christianity;Africa;0
Sango;Congo, Democratic Republic of the;CG;2100;5.06698;19.8288;Sango;Christianity;Africa;0
Mbanza;Congo;CF;18500;3.4371;18.5957;Mbandja;Christianity;Africa;0
Kotokoli;Benin;BN;29000;6.378;2.3821;Tem;Islam;Africa;0
Fula Jalon;Mali;ML;126000;12.23664;-11.06835;Pular;Islam;Africa;0
Gosha;Somalia;SO;68500;0.503296;42.770619;Maay;Islam;Africa;0
Bolgo Dugag;Chad;CD;5700;10.9063;18.1064;Bolgo;Islam;Africa;0
Banda;South Sudan;OD;24500;7.6378;27.7206;Banda, West Central;Christianity;Africa;0
Jahanke;Guinea-Bissau;PU;12000;12.288018;-14.23778;Jahanka;Islam;Africa;0
Jotoni Samogho;Burkina Faso;UV;3200;10.696379;-5.395844;Jowulu;Ethnoreligion;Africa;0
Toposa;Uganda;UG;59500;3.891;34.048;Toposa;Christianity;Africa;0
Mbanja;Congo, Democratic Republic of the;CG;724000;4.51093;20.31083;Mbandja;Christianity;Africa;0
Maswanka;Guinea-Bissau;PU;22500;12.106;-15.321;Mansoanka;Ethnoreligion;Africa;0
Syenara Senufo;Mali;ML;340000;10.555;-5.764;Sénoufo, Syenara;Ethnoreligion;Africa;0
Taabwa;Congo, Democratic Republic of the;CG;1270000;-7.1746;29.7574;Taabwa;Christianity;Africa;0
Ngbaka;Congo;CF;7500;2.5184;18.19371;Ngbaka;Christianity;Africa;0
Dhimba;Angola;AO;29000;-16.5122;13.9213;Dhimba;Ethnoreligion;Africa;0
Ngbaka;Congo, Democratic Republic of the;CG;2150000;3.2485;19.7781;Ngbaka;Christianity;Africa;0
Susu;Senegal;SG;57000;12.570539;-16.276215;Susu;Islam;Africa;0
Kabiye;Benin;BN;20000;9.7972;1.5088;Kabiyè;Islam;Africa;0
Vidunda;Tanzania;TZ;94000;-7.52674;36.93162;Vidunda;Christianity;Africa;0
Nubi;Uganda;UG;42500;3.0287;30.9066;Nubi;Islam;Africa;0
Chikunda;Zimbabwe;ZI;189000;-16.67361;30.6788;Kunda;Ethnoreligion;Africa;0
Acholi;Uganda;UG;2590000;3.17234;32.67602;Acholi;Christianity;Africa;0
Kotokoli;Ghana;GH;96000;7.528689;0.471582;Tem;Islam;Africa;0
Tharaka;Kenya;KE;248000;-0.13221;38.07303;Kitharaka;Ethnoreligion;Africa;0
Amba;Uganda;UG;63500;0.7964;30.1463;Amba (Uganda);Ethnoreligion;Africa;0
Gwere;Uganda;UG;889000;1.11392;33.82265;Gwere;Christianity;Africa;0
Beezen;Cameroon;CM;900;6.81552;10.10905;Beezen;Christianity;Africa;0
Yidinit;Ethiopia;ET;800;5.40416;36.1702;Kwegu;Ethnoreligion;Africa;0
Wasi;Tanzania;TZ;63000;-4.64148;35.72313;Alagwa;Islam;Africa;0
Sou;Laos;LA;3600;14.687;106.53974;Sou;Ethnoreligion;Asia;0
Lahanan;Malaysia;MY;900;2.6684;113.974729;Lahanan;Ethnoreligion;Asia;0
Zay;Ethiopia;ET;23500;7.9115;38.9113;Zay;Christianity;Africa;0
Dorze;Ethiopia;ET;63500;6.25237;37.55537;Dorze;Christianity;Africa;0
Jiiddu;Somalia;SO;52000;1.84353;44.12938;Jiiddu;Islam;Africa;0
Nara;Eritrea;ER;73500;14.75;36.727;Nara;Islam;Africa;0
Taabwa;Zambia;ZA;138000;-8.89877;29.95417;Taabwa;Ethnoreligion;Africa;0
Tsamai;Ethiopia;ET;32500;5.3097;36.9139;Tsamai;Ethnoreligion;Africa;0
Karo;Ethiopia;ET;2400;5.2101;36.17093;Karo (Ethiopia);Ethnoreligion;Africa;0
Maji;Ethiopia;ET;58500;6.1405;35.57631;Dizin;Christianity;Africa;0
Akeu;China;CH;1300;22.1678;100.4949;Biyo;Ethnoreligion;Asia;0
Xinh Mun;Vietnam;VM;23500;20.9803;104.1627;Puoc;Ethnoreligion;Asia;0
Sapuan;Laos;LA;5900;15.36919;106.84294;Sapuan;Ethnoreligion;Asia;0
Shihuh;United Arab Emirates;AE;21500;25.97262;56.12282;Arabic, Shihhi;Islam;Asia;0
Male;Ethiopia;ET;158000;5.8713;36.8208;Male;Ethnoreligion;Africa;0
Anfillo;Ethiopia;ET;2700;8.671698;34.520723;Oromo, West Central;Islam;Africa;0
Reshiat;Ethiopia;ET;77500;4.6632;36.0955;Daasanach;Ethnoreligion;Africa;0
Tihama Yemeni Arabs;Yemen;YM;4230000;14.799341;42.969271;Arabic, Ta’izzi-Adeni;Islam;Asia;0
Ir;Laos;LA;7300;15.6958;106.6024;Ir;Ethnoreligion;Asia;0
Hkun;Thailand;TH;7000;18.62883;98.8936;Khün;Buddhism;Asia;0
Lamet;Laos;LA;27500;20.37754;100.96317;Rmeet;Ethnoreligion;Asia;0
Tai Khun;Myanmar;BM;100000;20.58365;99.77897;Khün;Buddhism;Asia;0
Brao;Laos;LA;26000;14.59942;107.00836;Brao;Ethnoreligion;Asia;0
Serbs;Argentina;AR;7400;-34.623844;-58.451667;Serbian;Unaffiliated;Americas;0
Dime;Ethiopia;ET;13500;6.504;36.1452;Dime;Christianity;Africa;0
